Name,Genre,Publisher,Developer,MultiPlayer,Free_To_Play,Versions,ESRB_Rating,Year,Critic_Score,User_Score,Total_Sold
Animal Crossing: New Horizons,Misc,Nintendo,Nintendo,TRUE,FALSE,1,1,2020,9,5.5,33.86
Apex Legends,Shooter,Electronic Arts,Respawn Entertainment,TRUE,TRUE,3,2,2019,8.9,6.9,0
Assassin's Creed IV: Black Flag,Action/Adventure,Ubisoft,Ubisoft Montreal,TRUE,FALSE,6,3,2013,8.54,7.9,15.44
Batman: Arkham City,Action,Warner,Rocksteady Studios,FALSE,FALSE,3,2,2011,9.366666667,8.7,14.02
BioShock,Shooter,2K Games,Irrational Games,FALSE,FALSE,5,3,2007,9.533333333,8.733333333,6.05
Bloodborne,Role-Playing,Sony,From Software,TRUE,FALSE,1,3,2015,9.2,8.9,2
Borderlands 2,Shooter,2K Games,Gearbox Software,TRUE,FALSE,4,3,2012,8.325,8.1,7.82
Burnout 3: Takedown,Racing,Electronic Arts,Criterion Games,TRUE,FALSE,3,2,2004,9.35,8.25,4.37
Call of Duty 4: Modern Warfare,Shooter,Activision/Blizzard,Infinity Ward,TRUE,FALSE,6,3,2007,8.875,8.05,20.39
Castlevania: Symphony of the Night,Platform,Konami,Konami Computer Entertainment Tokyo,FALSE,FALSE,3,2,1997,9.1,8.95,1.35
Chrono Trigger,Role-Playing,Square Enix,Square Enix,FALSE,FALSE,5,1,1995,9.2,9.1,3.4
Dark Souls,Role-Playing,Namco Bandai,From Software,TRUE,FALSE,2,3,2011,8.9,8.65,3.52
Diablo II,Role-Playing,Activision/Blizzard,Blizzard Entertainment,TRUE,FALSE,1,3,2000,8.8,8.8,4
Dishonored,Shooter,Bethesda Softworks,Arkane Studios,FALSE,FALSE,3,3,2013,8.933333333,8.066666667,4.24
Doom,Shooter,Activision/Blizzard,id Software,FALSE,FALSE,8,3,1993,8.1,8.3,1.01
Fable II,Role-Playing,Microsoft Game Studios,Lionhead Studios,TRUE,FALSE,2,3,2008,8.9,6.6,3.5
Fallout: New Vegas,Role-Playing,Bethesda Softworks,Obsidian Entertainment,FALSE,FALSE,3,3,2010,8.333333333,8.333333333,13.3
Final Fantasy VII,Role-Playing,Sony,SquareSoft,FALSE,FALSE,8,2,1997,9.2,9.2,11.04
Fortnite,Action,Gearbox Software,Epic Games,TRUE,TRUE,4,2,2017,8.175,3.775,2.66
God of War (2018),Action,Sony,SIE Santa Monica Studio,FALSE,FALSE,1,3,2018,9.4,9.1,7.17
GoldenEye 007,Shooter,Nintendo,Rare Ltd.,TRUE,FALSE,3,2,1997,8.033333333,7.766666667,9.53
Grand Theft Auto V,Action,Rockstar Games,Rockstar Games,TRUE,FALSE,5,3,2013,9.68,8.08,85.21
Grand Theft Auto: San Andreas,Action/Adventure,Rockstar Games,Rockstar Games,TRUE,FALSE,8,3,2004,9.366666667,8.866666667,20.5
Hades,Action/Adventure,Supergiant Games,Supergiant Games,FALSE,FALSE,4,2,2021,9.3,9,0
Half-Life 2,Action,VU Games,Valve Software,FALSE,FALSE,3,3,2004,9.3,8.75,9.52
Half-Life: Alyx,Shooter,Valve,Valve Software,FALSE,FALSE,1,2,2020,9.3,9,10
Halo 2,Shooter,Microsoft Game Studios,Bungie Studios,TRUE,FALSE,2,3,2004,8.35,7,8.1
Inside,Platform,Playdead,Playdead,FALSE,FALSE,3,3,2016,9.05,8.4,0.67
Journey,Adventure,Sony,thatgamecompany,TRUE,FALSE,3,1,2012,9.2,8.6,0.18
League of Legends,Strategy,THQ,Riot Games,TRUE,TRUE,2,2,2009,7.8,5.4,0
Mario Kart 8 Deluxe,Racing,Nintendo,Nintendo,TRUE,FALSE,1,1,2017,9.2,8.6,15.02
Mass Effect 2,Role-Playing,Electronic Arts,BioWare Edmonton,FALSE,FALSE,4,3,2010,9.466666667,8.766666667,5.45
Metal Gear Solid 3: Snake Eater,Action,Konami,KCEJ / Kojima Productions,FALSE,FALSE,3,3,2004,9.1,9.1,6.16
Metroid Prime,Shooter,Nintendo,Retro Studios,FALSE,FALSE,1,2,2002,9.7,9.2,2.84
Minecraft,Misc,Microsoft Game Studios,Mojang,TRUE,FALSE,11,1,2010,9.3,7.6,69.98
Overwatch,Shooter,Activision/Blizzard,Blizzard Entertainment,TRUE,FALSE,3,2,2016,9.066666667,6.266666667,9.23
Persona 5,Role-Playing,Atlus,Atlus,FALSE,FALSE,2,3,2017,9.3,8.7,2.1
Pokemon Red / Green / Blue Version,Role-Playing,Nintendo,Game Freak,FALSE,FALSE,1,1,1998,9.4,8.170888889,31.38
Portal 2,Shooter,Valve,Valve Software,TRUE,FALSE,3,1,2011,9.5,8.733333333,17.26
Red Dead Redemption,Action,Rockstar Games,Rockstar Games,TRUE,FALSE,4,3,2010,9.5,8.95,14.67
Resident Evil 4,Action,Capcom,Capcom,FALSE,FALSE,11,3,2005,8.52,8.32,6.81
Rise of the Tomb Raider,Adventure,Square Enix,Crystal Dynamics,FALSE,FALSE,4,3,2015,8.6,7.95,6.28
Rock Band,Misc,MTV Games,Harmonix Music Systems,TRUE,FALSE,4,2,2007,8.65,7.275,8.26
Shadow of the Colossus,Adventure,Sony,Team ICO,FALSE,FALSE,3,2,2005,9.1,8.5,2.7
Sid Meier's Civilization IV,Strategy,2K Games,Firaxis Games,TRUE,FALSE,1,1,2005,9.4,8.3,0.18
Star Wars: Knights of the Old Republic,Role-Playing,LucasArts,BioWare Corp.,FALSE,FALSE,2,2,2003,9.35,9.05,2.43
StarCraft,Strategy,Activision/Blizzard,Blizzard Entertainment,TRUE,FALSE,2,2,1998,8.8,9.1,9.5
Street Fighter II,Action,Capcom,Capcom,TRUE,FALSE,1,2,1995,8.02,7.28,14.3
Super Mario 64,Action,Nintendo,Nintendo,FALSE,FALSE,3,1,1996,9.4,9.2,11.91
Super Mario Bros. 3,Platform,Nintendo,Nintendo,FALSE,FALSE,4,1,1990,9.5,8.170888889,17.28
Super Mario World,Platform,Nintendo,Nintendo,FALSE,FALSE,2,1,1991,8.5,8.170888889,20.61
Super Metroid,Adventure,Nintendo,Intelligent Systems,FALSE,FALSE,2,1,1994,8.5,8.170888889,1.42
Super Smash Bros. Ultimate,Fighting,Nintendo,Bandai Namco Games,TRUE,FALSE,1,1,2018,9.3,8.7,12.08
Tetris,Puzzle,Nintendo,Nintendo,TRUE,FALSE,4,1,1989,8.25,7.65,35.84
The Elder Scrolls V: Skyrim,Role-Playing,Bethesda Softworks,Bethesda Softworks,FALSE,FALSE,4,3,2011,9.15,7.9,23.01
The Last of Us,Action/Adventure,Sony,Naughty Dog,TRUE,FALSE,1,3,2013,9.5,9.2,7.26
The Legend of Zelda: Breath of the Wild,Action/Adventure,Nintendo,Nintendo,FALSE,FALSE,2,1,2017,9.65,8.4,13.29
The Legend of Zelda: Ocarina of Time,Action/Adventure,Nintendo,Nintendo,FALSE,FALSE,3,1,1998,9.9,9.1,7.6
The Sims 3,Simulation,Electronic Arts,The Sims Studio,FALSE,FALSE,9,2,2009,7.3,6.22,16.49
The Witcher 3: Wild Hunt,Role-Playing,Warner,CD Projekt Red Studio,FALSE,FALSE,3,3,2015,9.2,9.266666667,13.57
Titanfall 2,Shooter,Electronic Arts,Respawn Entertainment,TRUE,FALSE,3,3,2016,8.733333333,8.333333333,3.71
Tony Hawk's Pro Skater 2,Sports,Activision/Blizzard,Neversoft Entertainment,TRUE,FALSE,6,2,2000,9.3,7.52,6.85
Uncharted 2: Among Thieves,Action,Sony,Naughty Dog,FALSE,FALSE,1,2,2009,9.6,8.9,7.76
World of Warcraft,Role-Playing,Activision/Blizzard,Blizzard Entertainment,TRUE,TRUE,2,2,2004,9.3,7.4,1.16
